location,datetime,SF6 [ppm]
near_window,2021-05-11T17:17:05Z,0.492546260259773
center,2021-05-11T17:17:55Z,0.412563939794209
near_door,2021-05-11T17:18:40Z,0.39088384143623
near_window,2021-05-11T17:19:45Z,0.509465284571179
center,2021-05-11T17:20:40Z,0.333108764051942
near_door,2021-05-11T17:21:25Z,0.326552016144458
near_window,2021-05-11T17:22:15Z,0.429252326014923
center,2021-05-11T17:23:00Z,0.395430734708186
near_door,2021-05-11T17:23:45Z,0.334887960957975
near_window,2021-05-11T17:24:30Z,0.435858465509438
center,2021-05-11T17:25:15Z,0.727023815299337
near_door,2021-05-11T17:26:00Z,0.397440569704912
near_window,2021-05-11T17:26:45Z,0.364261520722026
center,2021-05-11T17:27:30Z,0.339352489094341
near_door,2021-05-11T17:28:25Z,0.35727643090411
near_window,2021-05-11T17:29:25Z,0.344459480999349
center,2021-05-11T17:30:15Z,1.01721728005584
near_door,2021-05-11T17:31:00Z,0.350505521860812
near_window,2021-05-11T17:31:50Z,0.338166344731118
center,2021-05-11T17:32:35Z,0.337111976729318
near_door,2021-05-11T17:33:25Z,0.232121782545601
near_window,2021-05-11T17:34:15Z,0.349484147046372
center,2021-05-11T17:35:00Z,1.43157691334976
near_door,2021-05-11T17:35:55Z,0.362366965493043
near_window,2021-05-11T17:36:40Z,0.393173765027086
center,2021-05-11T17:37:25Z,0.415595188882979
near_door,2021-05-11T17:38:10Z,0.310094268014438
near_window,2021-05-11T17:39:10Z,0.291593711339134
center,2021-05-11T17:39:55Z,1.05301575244954
near_door,2021-05-11T17:40:40Z,0.30393290810763
near_window,2021-05-11T17:41:25Z,0.303652839152301
center,2021-05-11T17:42:10Z,0.285877150658833
near_door,2021-05-11T17:42:55Z,0.295844058700883
near_window,2021-05-11T17:43:40Z,0.321296731645544
center,2021-05-11T17:44:25Z,0.331016524642022
near_door,2021-05-11T17:45:20Z,0.190046611560938
near_window,2021-05-11T17:46:05Z,0.277195248709277
center,2021-05-11T17:47:00Z,0.446369034507266
near_door,2021-05-11T17:47:45Z,0.239353967770286
near_window,2021-05-11T17:48:30Z,0.254230183536408
center,2021-05-11T17:49:35Z,0.267788458939082
near_door,2021-05-11T17:50:20Z,0.274724117892362
near_window,2021-05-11T17:51:10Z,0.255037416853835
center,2021-05-11T17:52:00Z,0.275317190073974
near_door,2021-05-11T17:52:45Z,0.24546589681246
center,2021-05-11T17:56:16Z,0.268134416075122
near_door,2021-05-11T17:57:19Z,0.273801545890787
near_window,2021-05-11T17:58:06Z,0.26979831357461
center,2021-05-11T17:59:06Z,0.278743827163418
near_door,2021-05-11T17:59:51Z,0.281923349207291
near_window,2021-05-11T18:00:36Z,0.285498259251838
center,2021-05-11T18:01:21Z,0.279518106571088
near_door,2021-05-11T18:02:06Z,0.282928266705654
near_window,2021-05-11T18:02:51Z,0.290045132884992
center,2021-05-11T18:03:36Z,0.279979382752474
near_door,2021-05-11T18:04:21Z,3.30555256316157
near_window,2021-05-11T18:05:06Z,33.9154782917946
center,2021-05-11T18:05:56Z,34.3322758859689
near_door,2021-05-11T18:06:41Z,34.2251944539541
near_window,2021-05-11T18:07:26Z,34.2845017506705
center,2021-05-11T18:08:11Z,34.2383741325318
near_door,2021-05-11T18:09:11Z,34.1790668358155
near_window,2021-05-11T18:10:06Z,34.1790668358155
center,2021-05-11T18:10:51Z,34.9006385269034
near_door,2021-05-11T18:11:41Z,34.1592985748322
near_window,2021-05-11T18:12:31Z,34.1098754086075
center,2021-05-11T18:13:16Z,34.6222237871451
near_door,2021-05-11T18:14:01Z,34.0966957300298
near_window,2021-05-11T18:14:46Z,34.0390349504731
center,2021-05-11T18:15:31Z,34.2482582630235
near_door,2021-05-11T18:16:16Z,33.9978493975803
near_window,2021-05-11T18:17:06Z,33.9500752622819
center,2021-05-11T18:17:51Z,34.3125076249856
near_door,2021-05-11T18:18:36Z,33.9583128756138
near_window,2021-05-11T18:19:41Z,33.9962028804206
center,2021-05-11T18:20:26Z,33.9434841661097
near_door,2021-05-11T18:21:16Z,33.9187738398807
near_window,2021-05-11T18:22:01Z,33.8825303522337
center,2021-05-11T18:22:51Z,33.9138317746349
near_door,2021-05-11T18:23:36Z,33.8528779607588
near_window,2021-05-11T18:24:21Z,33.8413447993408
center,2021-05-11T18:25:16Z,33.8561709950782
near_door,2021-05-11T18:26:01Z,33.8133389250257
near_window,2021-05-11T18:26:46Z,33.8331071860089
center,2021-05-11T18:27:31Z,33.7754489202189
near_door,2021-05-11T18:28:16Z,33.7952171812022
near_window,2021-05-11T18:29:16Z,33.7342633673261
center,2021-05-11T18:30:01Z,33.7540316283093
